hydro_id,wasta,name,capacity,capacity_increase_2025,capacity_increase_2030,capacity_increase_2035,capacity_increase_2040,eta_turb,pump,pump_increase_2025,pump_increase_2030,pump_increase_2035,pump_increase_2040,eta_pump,technology,country,canton_id,"winter generation
[MWh]","summer generation
[MWh]",hydro scheme_id,upperwn,lowerwn,Cascade
RoR_Amsteg Dotierzentrale,300950,Amsteg Dotierzentrale,1.73,,,,,0.01044686,0,,,,,0,RoR,CH,can11,1500,5050,250.4,Virtual_wn_127,NULL,73
RoR_Arniberg,301000,Arniberg,13,,,,,2.00617284,0,,,,,0,RoR,CH,can11,9720,37500,48.3,Arnisee,NULL,71
RoR_Bocki II,301100,Bocki II,7,,,,,2.34270415,0,,,,,0,RoR,CH,can11,5900,19600,95,Tagesausgleichsbecken Waldnacht(er Boden),NULL,72
RoR_Bocki I,301200,Bocki I,1.7,,,,,0.944444444,0,,,,,0,RoR,CH,can11,2400,5800,95,Virtual_wn_128,NULL,72
RoR_Unterschaechen,301300,Unterschaechen,2.2,,,,,0.873015873,0,,,,,0,RoR,CH,can11,2140,6010,49,Ausgleichsbecken Lehmatt,Virtual_wn_4,70
RoR_Buerglen (Unterschaechen),301400,Buerglen (Unterschaechen),23.5,,,,,1.1352657,0,,,,,0,RoR,CH,can11,19650,72050,48.1,Virtual_wn_4,NULL,70
RoR_Buerglen (Loreto),301500,Buerglen (Loreto),1.5,,,,,0.173611111,0,,,,,0,RoR,CH,can11,2500,5200,48.1,Virtual_wn_129,NULL,70
RoR_Isenthal,301600,Isenthal,1.18,,,,,0.409722222,0,,,,,0,RoR,CH,can18,1000,3800,48.2,Virtual_wn_18,Isenthaler Stau (See),122
RoR_Bolzbach,301700,Bolzbach,12,,,,,0.877192982,0,,,,,0,RoR,CH,can18,11250,33750,48.2,Isenthaler Stau (See),NULL,122
RoR_Sahli (Glattalp),301900,Sahli (Glattalp),9,,,,,1.666666667,0,,,,,0,RoR,CH,can7,2700,13600,50.1,Glattalpsee,Ausgleichsbecken Sahliboden,75
RoR_Sahli (Ruosalp),301800,Sahli (Ruosalp),4.5,,,,,0.625,0,,,,,0,RoR,CH,can7,4100,15200,50.1,Waldialp (Waldisee),Ausgleichsbecken Sahliboden,75
RoR_Seeberg,302000,Seeberg,15,,,,,0.833333333,0,,,,,0,RoR,CH,can7,10900,43800,50.1,Ausgleichsbecken Sahliboden,NULL,75
RoR_Balm (Muota),302100,Balm (Muota),8.5,,,,,0.314814815,0,,,,,0,RoR,CH,can18,10000,31200,50.2,Ausgleichsbecken Riedplätz,NULL,77
RoR_Balm (Hueribach),302200,Balm (Hueribach),4.5,,,,,1.25,0,,,,,0,RoR,CH,can18,4900,13500,50.2,Ausgleichsbecken Lipplisbüel,NULL,77
RoR_Wernisberg,302300,Wernisberg,19.8,,,,,0.183333333,0,,,,,0,RoR,CH,can18,20400,55500,50.3,Muota Stau (Schlattli) (AGB Selgis),NULL,79
Dam_Engelberg,302800,Engelberg,8.4,,,,,1.505376344,0,,,,,0,Dam,CH,can11,2700,16100,52.1,Trübsee,Eugenisee,66
RoR_Arni,302900,Arni,3,,,,,0.833333333,0,,,,,0,RoR,CH,can11,400,5600,53.1,Virtual_wn_17,Eugenisee,66
RoR_Obermatt,303000,Obermatt,29.7,,,,,0.75,0,,,,,0,RoR,CH,can11,26000,99000,53.2,Eugenisee,Virtual_wn_5,66
RoR_Obermatt (Nebenkraftwerk),303100,Obermatt (Nebenkraftwerk),1.8,,,,,0.045454545,0,,,,,0,RoR,CH,can11,1000,4000,53.2,Virtual_wn_5,Ausgleichsbecken Obermatt,66
RoR_Dallenwil,303200,Dallenwil,17,,,,,0.342190016,0,,,,,0,RoR,CH,can11,17500,58000,52.2,Ausgleichsbecken Obermatt,NULL,66
Dam_Oberrickenbach,303300,Oberrickenbach,6.8,,,,,1.888888889,0,,,,,0,Dam,CH,can11,4400,9800,54.1,Bannalpsee,NULL,67
RoR_Wolfenschiessen,303400,Wolfenschiessen,6.6,,,,,0.705128205,0,,,,,0,RoR,CH,can11,6600,13700,54.2,Secklisbach Stau,NULL,68
Dam_Unteraa,303700,Unteraa,54,,,,,0.46875,0,,,,,0,Dam,CH,can11,32500,39500,131.2,Lungerersee,NULL,120
Dam_Hugschwendi,303800,Hugschwendi,14,,,,,1.944444444,0,,,,,0,Dam,CH,can11,18000,19000,131.1,Melchsee,NULL,65
RoR_Eichi,304000,Eichi,2.2,,,,,0.050925926,0,,,,,0,RoR,CH,can9,6680,7720,142,Wichelsee,NULL,69
RoR_Muehlenplatz,304150,Muehlenplatz,0.83,,,,,0.003975096,0,,,,,0,RoR,CH,can9,2000,1000,279,Virtual_wn_130,NULL,238
RoR_Thorenberg,304300,Thorenberg,0.75,,,,,0.029761905,0,,,,,0,RoR,CH,can9,2200,2600,70,Virtual_wn_131,NULL,239
RoR_Emmenweid,304400,Emmenweid,1.08,,,,,0.025,0,,,,,0,RoR,CH,can9,1590,2960,143.1,Virtual_wn_132,NULL,240
RoR_Rathausen,304500,Rathausen,2,,,,,0.012345679,0,,,,,0,RoR,CH,can9,7880,8020,143.2,Virtual_wn_133,NULL,241
RoR_Perlen I (WTA HF),304600,Perlen I (WTA HF),0.96,,,,,0.005925926,0,,,,,0,RoR,CH,can9,4000,4000,56,Virtual_wn_134,Virtual_wn_135,242
RoR_Perlen II (WTA PF),304700,Perlen II (WTA PF),1.09,,,,,0.006728395,0,,,,,0,RoR,CH,can9,3900,3900,56,Virtual_wn_135,NULL,242
RoR_Lorzentobel II,304800,Lorzentobel II,1.7,,,,,0.162835249,0,,,,,0,RoR,CH,can18,3800,4200,132.1,Virtual_wn_136,NULL,244
RoR_Lorzentobel I,304900,Lorzentobel I,1.2,,,,,0.104166667,0,,,,,0,RoR,CH,can18,2600,3200,132.1,Virtual_wn_137,NULL,244
RoR_Baar,305000,Baar,1.9,,,,,0.211111111,0,,,,,0,RoR,CH,can18,4700,5300,132.2,Virtual_wn_138,NULL,246
RoR_Bremgarten-Zufikon,305300,Bremgarten-Zufikon,19.5,,,,,0.027083333,0,,,,,0,RoR,CH,can1,37000,69000,58,Virtual_wn_139,Virtual_wn_140,247
RoR_Bruggmuehle,305350,Bruggmuehle,0.54,,,,,0.005,0,,,,,0,RoR,CH,can1,2110,1400,58,Virtual_wn_140,NULL,247
RoR_Windisch/Spinnerei Kunz AG,305400,Windisch/Spinnerei Kunz AG,2.01,,,,,0.010151515,0,,,,,0,RoR,CH,can1,5800,6400,156.2,Virtual_wn_141,NULL,249
Dam_Muttsee,400100,Muttsee,4,,,,,0.694444444,0,,,,,0,Dam,CH,can7,6400,1400,207,Muttsee,Limmerensee (Stausee Limmernboden),80
Pump_Tierfehd (Limmern),400200,Tierfehd (Limmern),255,,,,,2.425139693,34,,,,,3.23351959,Pump,CH,can7,172000,111700,207,Limmerensee (Stausee Limmernboden),Ausgleichsbecken Tierfehd,80
RoR_Tierfehd (Hintersand),400300,Tierfehd (Hintersand),40,,,,,1.111111111,0,,,,,0,RoR,CH,can7,11500,71500,207,Ausgleichsbecken Hintersand,Ausgleichsbecken Tierfehd,80
Dam_Linthal (Limmern),400400,Linthal (Limmern),33.5,,,,,0.290798611,0,,,,,0,Dam,CH,can7,30700,50400,207,Ausgleichsbecken Tierfehd,NULL,80
RoR_Fätschbach,400500,Fätschbach,14.5,,,,,1.342592593,0,,,,,0,RoR,CH,can7,20100,54300,74.2,Fassungsbecken Fätschbachwerk,NULL,80
RoR_Bebie,400600,Bebie,0.4,,,,,0.022222222,0,,,,,0,RoR,CH,can7,1170,1100,59,Virtual_wn_142,NULL,250
RoR_Linthal (Kunz),400700,Linthal (Kunz),1.6,,,,,0.02962963,0,,,,,0,RoR,CH,can7,3640,4500,156.3,Virtual_wn_143,NULL,251
RoR_Brummbach,400800,Brummbach,2.44,,,,,0.968253968,0,,,,,0,RoR,CH,can7,5000,7600,156.1,Virtual_wn_144,NULL,252
RoR_Rueti,400900,Rueti,0.32,,,,,0.022222222,0,,,,,0,RoR,CH,can7,1000,1200,195,Virtual_wn_145,NULL,253
RoR_Diesbach (Linth),400950,Diesbach (Linth),0.88,,,,,0.02037037,0,,,,,0,RoR,CH,can7,2000,3100,284,Virtual_wn_146,NULL,254
RoR_Haetzingen,401000,Haetzingen,0.88,,,,,0.030555556,0,,,,,0,RoR,CH,can7,2300,4400,61,Virtual_wn_147,NULL,255
RoR_Luchsingen,401100,Luchsingen,3.3,,,,,1.091269841,0,,,,,0,RoR,CH,can7,4000,9500,103,Virtual_wn_148,NULL,256
RoR_Leuggelbach,401150,Leuggelbach,1,,,,,1.388888889,0,,,,,0,RoR,CH,can7,2500,3900,72.2,Virtual_wn_149,NULL,257
RoR_Haslen,401200,Haslen,0.88,,,,,0.023148148,0,,,,,0,RoR,CH,can7,2760,3240,60,Virtual_wn_150,NULL,258
RoR_Schwanden (Sernf),401400,Schwanden (Sernf),16.5,,,,,0.520833333,0,,,,,0,RoR,CH,can7,26000,59000,72.1,Ausgleichsbecken Sernf-Werk (AGB Engi),NULL,83
Dam_Schwanden (Niederenbach),401500,Schwanden (Niederenbach),33.5,,,,,2.584876543,0,,,,,0,Dam,CH,can7,13000,27000,72.1,Stausee Garichti (Garichte/Garichten),NULL,83
RoR_Schwanden (Gemeinde),401600,Schwanden (Gemeinde),1.8,,,,,0.892857143,0,,,,,0,RoR,CH,can7,4500,6000,73,Virtual_wn_151,NULL,259
Dam_Am Loentsch,401900,Am Loentsch,60,,,,,0.833333333,0,,,,,0,Dam,CH,can12,47500,71600,74.1,Klöntaler See,NULL,88
RoR_Netstal,402000,Netstal,1.4,,,,,0.011111111,0,,,,,0,RoR,CH,can12,2500,3700,185,Virtual_wn_152,NULL,260
RoR_Tobel,402100,Tobel,0.95,,,,,0.094246032,0,,,,,0,RoR,CH,can12,1700,2200,104.2,Virtual_wn_153,NULL,261
RoR_Mels (Spinnerei),402200,Mels (Spinnerei),3.4,,,,,0.403608737,0,,,,,0,RoR,CH,can12,5260,8740,75,Virtual_wn_154,NULL,262
RoR_Mels (Halden),402300,Mels (Halden),0.5,,,,,0.055555556,0,,,,,0,RoR,CH,can12,960,1680,144.1,Virtual_wn_155,NULL,263
RoR_Plons,402400,Plons,4.3,,,,,0.99537037,0,,,,,0,RoR,CH,can12,5000,13500,104.1,Chapfensee,NULL,100
RoR_Flums (Pravizi I),402500,Flums (Pravizi I),5.4,,,,,0.767836842,0,,,,,0,RoR,CH,can12,6470,17330,76,Virtual_wn_156,Virtual_wn_157,264
RoR_Flums (Pravizi II),402600,Flums (Pravizi II),0.75,,,,,0.767833738,0,,,,,0,RoR,CH,can12,1510,1830,76,Virtual_wn_156,Virtual_wn_157,264
RoR_Flums (Felsen),402700,Flums (Felsen),1.45,,,,,0.322222222,0,,,,,0,RoR,CH,can12,3000,5000,76,Virtual_wn_157,NULL,264
Dam_Merlen,403000,Merlen,0.4,,,,,0.148148148,0,,,,,0,Dam,CH,can12,530,1390,145,Murgsee (Oberer Murgsee),AGB Merlen,99
Dam_Plaetz I,403100,Plaetz I,0.5,,,,,0.878607319,0,,,,,0,Dam,CH,can12,520,1610,145,AGB Merlen,Ausgleichsbecken Plätz,99
Dam_Plaetz,403150,Plaetz,6.4,,,,,0.878609636,0,,,,,0,Dam,CH,can12,5300,18400,145,AGB Merlen,Ausgleichsbecken Plätz,99
RoR_Goedis,403300,Goedis,2.8,,,,,0.388888889,0,,,,,0,RoR,CH,can12,4400,9000,145,Ausgleichsbecken Plätz,Ausgleichsbecken Luchsberg,99
RoR_Murg I,403400,Murg I,2.32,,,,,0.268518519,0,,,,,0,RoR,CH,can12,3700,7800,77,Ausgleichsbecken Luchsberg,NULL,99
RoR_Muslen,403500,Muslen,1.58,,,,,0.438888889,0,,,,,0,RoR,CH,can12,1300,2400,36.2,Muslen (Zand) Stau,NULL,98
RoR_Ruetiberg (Obersee),403600,Ruetiberg (Obersee),0.93,,,,,0.322916667,0,,,,,0,RoR,CH,can12,1500,3200,186,Obersee,AGB Rütiberg,89
RoR_Ruetiberg (Braendbach),403700,Ruetiberg (Braendbach),0.8,,,,,0.584795322,0,,,,,0,RoR,CH,can12,1300,2500,186,Brändbach-Becken,AGB Rütiberg,89
RoR_Risi,403800,Risi,4.2,,,,,0.833333333,0,,,,,0,RoR,CH,can12,6600,12100,186,AGB Rütiberg,NULL,89
Pump_Rempen,404100,Rempen,60,,,,,0.555555556,16,,,,,0.740740741,Pump,CH,can18,50000,10000,79,Wägitaler See,Stausee Rempen,91
Dam_Siebnen,404200,Siebnen,48,,,,,0.416666667,0,,,,,0,Dam,CH,can18,40000,20000,79,Stausee Rempen,NULL,91
Pump_Altendorf (Etzel),404400,Altendorf (Etzel),121,,,,,0.988562092,54,,,,,1.318082789,Pump,CH,can18,141000,112000,177,Sihlsee,NULL,92
RoR_Schindellegi,404600,Schindellegi,0.7,,,,,0.055555556,0,,,,,0,RoR,CH,can13,2110,2070,173,Virtual_wn_158,NULL,268
RoR_Sihl-Hoefe,404700,Sihl-Hoefe,1.4,,,,,0.097222222,0,,,,,0,RoR,CH,can13,4300,4600,174,Sihl-Höfe Stau,NULL,109
RoR_Waldhalde,404800,Waldhalde,2.7,,,,,0.166666667,0,,,,,0,RoR,CH,can13,7600,8400,81.1,Teufenbachweiher (Tiefenbachweiher),NULL,93
RoR_Letten,405000,Letten,4.26,,,,,0.011833333,0,,,,,0,RoR,CH,can13,9190,12440,134.7,Virtual_wn_159,NULL,269
RoR_Hoengg,405100,Hoengg,1.3,,,,,0.007222222,0,,,,,0,RoR,CH,can13,3400,3600,134.6,Virtual_wn_160,NULL,270
RoR_Dietikon,405200,Dietikon,2.7,,,,,0.0075,0,,,,,0,RoR,CH,can13,8800,10300,81.2,Virtual_wn_161,NULL,271
RoR_Wettingen,405300,Wettingen,24,,,,,0.050125313,0,,,,,0,RoR,CH,can1,59300,73000,134.5,Virtual_wn_162,NULL,272
RoR_Aue,405400,Aue,5,,,,,0.011870845,0,,,,,0,RoR,CH,can1,13000,14700,82.4,Virtual_wn_163,NULL,273
RoR_Kappelerhof,405500,Kappelerhof,6.6,,,,,0.013095238,0,,,,,0,RoR,CH,can1,19400,22200,82.3,Virtual_wn_164,NULL,274
RoR_Schiffmuehle,405600,Schiffmuehle,2.6,,,,,0.007602339,0,,,,,0,RoR,CH,can1,7700,8300,82.2,Virtual_wn_165,NULL,275
RoR_Turgi,405650,Turgi,0.9,,,,,0.007142857,0,,,,,0,RoR,CH,can1,3600,3600,82.1,Virtual_wn_166,NULL,276
RoR_BAG Turgi,405700,BAG Turgi,0.88,,,,,0.009856631,0,,,,,0,RoR,CH,can1,3300,3400,144.2,Virtual_wn_167,NULL,277
RoR_Stroppel,405800,Stroppel,0.71,,,,,0.005976431,0,,,,,0,RoR,CH,can1,2600,2500,229,Virtual_wn_168,NULL,278
Dam_Altstafel,500100,Altstafel,9.2,,,,,0.912698413,0,,,,,0,Dam,CH,can16,16800,4800,178,Griessee,Lago di Robièi (Robiei),16
RoR_Merezenbach,500200,Merezenbach,1.89,,,,,1.05,0,,,,,0,RoR,CH,can3,2500,6800,221,Virtual_wn_169,NULL,279
RoR_Wannebode,500250,Wannebode,1.9,,,,,0.329861111,0,,,,,0,RoR,CH,can17,1600,6400,260,Virtual_wn_170,NULL,280
RoR_Rappental,500300,Rappental,1.1,,,,,0.152777778,0,,,,,0,RoR,CH,can17,600,2400,117.2,Virtual_wn_14,Staubecken Frid (Fried)(uf en egga),117
RoR_Neubrigg,500400,Neubrigg,25,,,,,1.543209877,0,,,,,0,RoR,CH,can17,22000,68000,117.2,Staubecken Frid (Fried)(uf en egga),NULL,117
RoR_Fieschertal,500500,Fieschertal,64,,,,,1.185185185,0,,,,,0,RoR,CH,can17,13000,129000,117.3,Virtual_wn_171,NULL,281
RoR_Ernen,500600,Ernen,32,,,,,0.683760684,0,,,,,0,RoR,CH,can17,55200,127500,179.1,Ze Binne See (Bassin Zenbinnen),Virtual_wn_173,41
RoR_Saflischbach,500700,Saflischbach,1.2,,,,,0.666666667,0,,,,,0,RoR,CH,can17,2000,4300,117.1,Virtual_wn_172,NULL,36
RoR_Heiligkreuz,500800,Heiligkreuz,41,,,,,1.604068858,0,,,,,0,RoR,CH,can17,9000,47400,117.1,Kummenbord-Stau,NULL,36
RoR_Aletsch,500900,Aletsch,35.3,,,,,1.400793651,0,,,,,0,RoR,CH,can17,16000,111500,106.1,Akkumulierbecken Massaschlucht,NULL,40
RoR_Moerel,501000,Moerel,45,,,,,0.568181818,0,,,,,0,RoR,CH,can17,79900,192900,179.1,Virtual_wn_173,NULL,41
RoR_Massaboden,501100,Massaboden,7.2,,,,,0.1,0,,,,,0,RoR,CH,can17,14000,29000,250.3,Virtual_wn_174,NULL,284
Dam_Bitsch (Biel),501200,Bitsch (Biel),331,,,,,1.671717172,0,,,,,0,Dam,CH,can17,16500,547000,84,Gibidum Stausee (Gebidem),NULL,39
Pump_Bortelalp,501350,Bortelalp,2.35,,,,,1.087962963,2.62,,,,,1.450617284,Pump,CH,can17,4220,1510,257,Bortelsee,NULL,34
Dam_Ganterbruecke,501375,Ganterbruecke,5,,,,,1.388888889,0,,,,,0,Dam,CH,can17,9000,14200,257,Virtual_wn_175,NULL,34
RoR_Silliboden,501400,Silliboden,6.7,,,,,1.240740741,0,,,,,0,RoR,CH,can17,15200,20300,86,Virtual_wn_176,NULL,286
Pump_Zermeiggern,501500,Zermeiggern,74,,,,,1.081876901,0,,,,,0,Pump,CH,can17,85400,48000,87.1,Mattmark Stausee,Ausgleichsbecken Zermeiggern,38
Pump_Zermeiggern (Pumpzentrale),501600,Zermeiggern (Pumpzentrale),0,,,,,1.081873669,46,,,,,1.442498226,Pump,CH,can17,0,0,87.1,Mattmark Stausee,Ausgleichsbecken Zermeiggern,38
RoR_Saas Fee,501700,Saas Fee,1.5,,,,,0.416666667,0,,,,,0,RoR,CH,can17,30,170,87.2,Virtual_wn_177,NULL,287
Dam_Stalden (KWM),501800,Stalden (KWM),180,,,,,2.5,0,,,,,0,Dam,CH,can17,215500,302900,87.1,Ausgleichsbecken Zermeiggern,NULL,38
RoR_Riedji,502100,Riedji,0.52,,,,,0.320987654,0,,,,,0,RoR,CH,can17,900,1200,107,Virtual_wn_22,Virtual_wn_6,127
RoR_Ackersand I,502200,Ackersand I,27,,,,,1.666666667,0,,,,,0,RoR,CH,can17,15000,85000,107,Virtual_wn_6,NULL,127
RoR_Ackersand II,502300,Ackersand II,63,,,,,1.166666667,0,,,,,0,RoR,CH,can17,35200,127900,106.2,Ausgleichsbecken Mattsand (Akkumulierbecken),NULL,42
RoR_Unterbaech,502400,Unterbaech,0.85,,,,,1.073232323,0,,,,,0,RoR,CH,can17,2000,3000,89,Virtual_wn_178,NULL,289
RoR_Steg,502500,Steg,122,,,,,1.54040404,0,,,,,0,RoR,CH,can17,50000,280000,108,Lonza-Stau (Ferden),NULL,43
Pump_Oberems,502600,Oberems,7.3,,,,,1.810524008,5.67,,,,,2.414032011,Pump,CH,can17,13200,2200,166,Unter Meretschisee,Ausgleichsbecken Oberems,46
Pump_Meretschi (Pumpzentrale),502700,Meretschi (Pumpzentrale),0,,,,,1.810519129,0.99,,,,,2.414025505,Pump,CH,can17,0,0,166,Unter Meretschisee,Ausgleichsbecken Oberems,46
Dam_Turtmann,502800,Turtmann,21.5,,,,,1.531339031,0,,,,,0,Dam,CH,can17,24700,45400,166,Ausgleichsbecken Oberems,NULL,46
RoR_Dala,502900,Dala,12.3,,,,,1.423611111,0,,,,,0,RoR,CH,can17,11000,30000,90,Virtual_wn_179,NULL,290
RoR_Chippis-Rhone,503000,Chippis-Rhone,46.4,,,,,0.207885305,0,,,,,0,RoR,CH,can17,80000,183000,179.2,Virtual_wn_180,NULL,291
RoR_Lona,503100,Lona,1,,,,,0.694444444,0,,,,,0,RoR,CH,can17,500,1500,146,Virtual_wn_12,Lac de Moiry,115
Pump_Motec,503200,Motec,69,,,,,1.064814815,31.7,,,,,1.419753086,Pump,CH,can17,110000,25000,146,Lac de Moiry,Ausgleichsbecken Motec,115
Dam_Vissoie,503300,Vissoie,45,,,,,0.961538462,0,,,,,0,Dam,CH,can17,90000,120000,146,Ausgleichsbecken Motec,Ausgleichsbecken Vissoie,115
Dam_Navisence,503400,Navisence,50,,,,,1.207729469,0,,,,,0,Dam,CH,can17,130000,160000,179.4,Ausgleichsbecken Vissoie,NULL,115
Dam_Croix,503500,Croix,64,,,,,1.975308642,0,,,,,0,Dam,CH,can17,100000,47000,188.1,Lac de Tseuzier,Lac de la Lienne,37
